2011|Rotenone, Paraquat, and Parkinson's Disease Tanner, Caroline M.; Kamel, Freya; Ross, G. Webster; Hoppin, Jane A.; Goldman, Samuel M.; Korell, Monica; Marras, Connie; Bhudhikanok, Grace S.; Kasten, Meike; Chade, Anabel R.; Comyns, Kathleen; Richards, Marie Barber; Meng, Cheryl; Priestley, Benjamin; Fernandez, Hubert H.; Cambi, Franca; Umbach, David M.; Blair, Aaron; Sandler, Dale P.; Langston, J. William
1996|The agricultural health study Alavanja, MCR; Sandler, DP; McMaster, SB; Zahm, SH; McDonnell, CJ; Lynch, CF; Pennybacker, M; Rothman, N; Dosemeci, M; Bond, AE; Blair, A
2003|Use of agricultural pesticides and prostate cancer risk in the agricultural health study cohort Alavanja, MCR; Samanic, C; Dosemeci, M; Lubin, J; Tarone, R; Lynch, CF; Knott, C; Thomas, K; Hoppin, JA; Barker, J; Coble, J; Sandler, DP; Blair, A
2007|Pesticide exposure and self-reported Parkinson's disease in the agricultural health study Kamel, F.; Tanner, C. M.; Umbach, D. M.; Hoppin, J. A.; Alavanja, M. C. R.; Blair, A.; Comyns, K.; Goldman, S. M.; Korell, M.; Langston, J. W.; Ross, G. W.; Sandler, D. P.
2008|Environmental and occupational causes of cancer: New evidence 2005-2007 Clapp, Richard W.; Jacobs, Molly M.; Loecher, Edward L.
2000|Intensive livestock operations, health, and quality of life among eastern North Carolina residents Wing, S; Wolf, S
2006|Reduced fertility among overweight and obese men Sallmen, Markku; Sandler, Dale P.; Hoppin, Jane A.; Blair, Aaron; Baird, Donna Day
2002|A quantitative approach for estimating exposure to pesticides in the Agricultural Health Study Dosemeci, M; Alavanja, MCR; Rowland, AS; Mage, D; Zahm, SH; Rothman, N; Lubin, JH; Hoppin, JA; Sandler, DP; Blair, A
2002|Reliability of reporting on life-style and agricultural factors by a sample of participants in the agricultural health study from Iowa Blair, A; Tarone, R; Sandler, D; Lynch, CF; Rowland, A; Wintersteen, W; Steen, WC; Samanic, C; Dosemeci, M; ALavanja, MCR
2010|Chlordecone Exposure and Risk of Prostate Cancer Multigner, Luc; Ndong, Jean Rodrigue; Giusti, Arnaud; Romana, Marc; Delacroix-Maillard, Helene; Cordier, Sylvaine; Jegou, Bernard; Thome, Jean Pierre; Blanchet, Pascal
2007|Swine workers and swine influenza virus infections Gray, Gregory C.; McCarthy, Troy; Capuano, Ana W.; Setterquist, Sharon F.; Olsen, Christopher W.; Alavania, Michael C.; Lynch, Charles F.
2004|Glyphosate biomonitoring for farmers and their families: Results from the farm family exposure study Acquavella, JF; Alexander, BH; Mandel, JS; Gustin, C; Baker, B; Chapman, P; Bleeke, M
2008|Incident diabetes and pesticide exposure among licensed pesticide applicators: Agricultural Health Study, 1993-2003 Montgomery, M. P.; Kamel, F.; Saldana, T. M.; Alavanja, C. R.; Sandler, D. P.
2002|Chemical predictors of wheeze among farmer pesticide applicators in the agricultural health study Hoppin, JA; Umbach, DM; London, SJ; Alavanja, MCR; Sandler, DP
2004|Pesticides and lung cancer risk in the agricultural health study cohort Alavanja, MCR; Dosemeci, M; Samanic, C; Lubin, J; Lynch, CF; Knott, C; Barker, J; Hoppin, JA; Sandler, DP; Coble, J; Thomas, K; Blair, A
2002|Influence of medical conditions and lifestyle factors on the menstrual cycle Rowland, AS; Baird, DD; Long, S; Wegienka, G; Harlow, SD; Alavanja, M; Sandler, DP
2002|Accuracy of self-reported pesticide use duration information from licensed pesticide applicators in the Agricultural Health Study Hoppin, JA; Yucel, F; Dosemeci, M; Sandler, DP
2005|Cancer incidence among glyphosate-exposed pesticide applicators in the agricultural health study De Roos, AJ; Blair, A; Rusiecki, JA; Hoppin, JA; Svec, M; Dosemeci, M; Sandler, DP; Alavanja, MC
2008|Endocrine disruptors and prostate cancer risk Prins, Gail S.
2004|Cancer incidence among pesticide applicators exposed to chlorpyrifos in the agricultural health study Lee, WJ; Blair, A; Hoppin, JA; Lubin, JH; Rusiecki, JA; Sandler, DP; Dosemeci, M; Alavanja, MCR
2007|Occupational exposure to organochlorine insecticides and cancer incidence in the Agricultural Health Study Purdue, Mark P.; Hoppin, Jane A.; Blair, Aaron; Dosemeci, Mustafa; Alavanja, Michael C. R.
2004|Cancer incidence among pesticide applicators exposed to alachlor in the Agricultural Health Study Lee, WJ; Hoppin, JA; Blair, A; Lubin, JH; Dosemeci, M; Sandler, DP; Alavanja, MCR
2010|A Review of Pesticide Exposure and Cancer Incidence in the Agricultural Health Study Cohort Weichenthal, Scott; Moase, Connie; Chan, Peter
2004|Cancer incidence among pesticide applicators exposed to atrazine in the agricultural health study Rusiecki, JA; De Roos, A; Lee, WJ; Dosemeci, M; Lubin, JH; Hoppin, JA; Blair, A; Alavanja, MCR
2010|Pesticides and Health Risks Gilden, Robyn C.; Huffling, Katie; Sattler, Barbara
2007|Pesticide exposure and self-reported gestational diabetes mellitus in the agricultural health study Saldana, Tina M.; Basso, Olga; Hoppin, Jane A.; Baird, Donna D.; Knott, Charles; Blair, Aaron; Alavanja, Michael C. R.; Sandler, Dale P.
