2017|Biodiversity, Health Implications of Bernstein, Aaron
1995|BIODIVERSITY AND HUMAN HEALTH ROWE, PM
1998|Biodiversity and human health. Guillette, EA
1995|Biodiversity and human health Johnson, K
2017|Urban biodiversity affects children's respiratory health Lucey, Morgan
2009|Biodiversity is good for your health Pelley, Janet
1995|BIODIVERSITY SEEN AS WELLSPRING FOR HUMAN HEALTH [Anonymous]
2017|Offline: Planetary health's next frontier-biodiversity Horton, Richard
1998|Biodiversity and human health. Grifo, Francesca T.
2009|Sustaining Life How Human Health Depends on Biodiversity Mindell, David P.
2008|Sustaining life: How human health depends on biodiversity Weintraub, Irwin
2001|Biodiversity in agroecosystems and bioindicators of environmental health Paoletti, MG
2015|Commentary on Matthew Butkus' ,Biodiversity, Ethics, and Human Health' Kretz, Lisa
2010|LiDAR Use Expands into Monitoring Biodiversity, Ecosystem Health [Anonymous]
2005|The potential health benefits of protecting marine biodiversity. Wilson, Nick; Wallace, Cath; Weeber, Barry
2013|Diversifying Food and Diets: Using Agricultural Biodiversity to Improve Nutrition and Health 
2015|ECOLOGY Is biodiversity good for your health? Keesing, Felicia; Ostfeld, Richard S.
2013|Conservation social work. The interconnectedness of biodiversity health and human resilience. Tedeschi, Philip; Bexell, Sarah M.; NeSmith, Jolie
1999|Health ecology and the biodiversity of natural medicine - Perspectives from traditional complementary health systems Bodeker, G
1995|SCIENTISTS STRESS BIODIVERSITY - HUMAN HEALTH LINKS MARWICK, C
1998|Biodiversity loss: a human health issue Cassis, G
1997|Biodiversity and its relationship to ecosystem health and integrity (Reprinted from Policy Options, November 1996) Kimmins, JP
1999|Biodiversity: Our greatest natural resource Bailey, BJ
1992|Butterflies as ecological and biodiversity indicators. Kremen, C.
1995|Traditional health systems: policy, biodiversity, and global interdependence. Bodeker, G
2003|Landscape bid diversity and biological health risk assessment: The map of Italian nature Zurlini, G; Rossi, O; Amadio, V
2014|Measures of the Health of Rivers and Streams Martin, James Lenial
2015|Plant microbiota: implications for human health von Hertzen, Leena
2012|Accounting for Nature's Benefits The Dollar Value of Ecosystem Services Holzman, David C.
2013|Diversifying Food and Diets Using agricultural biodiversity to improve nutrition and health Foreword de Souza Dias, Braulio Ferreira
2014|Lessons in Sustainable Development from Malaysia and Indonesia Hsu, S; Perry, N
2012|Biodiversity and global health-hubris, humility and the unknown Stephens, Carolyn
2013|Diversifying diets: using agricultural biodiversity to improve nutrition and health in Asia Nielsen, Jennifer; Haselow, Nancy; Osei, Akoto; Talukder, Zaman
2009|Recent progress in the conservation of groundwaters and their dependent ecosystems Boulton, Andrew J.
2013|Diversifying Food and Diets Using agricultural biodiversity to improve nutrition and health Preface Frison, Emile; Burlingame, Barbara
2003|Ecologically based pest management: A key pathway to achieving agroecosystem health Altieri, MA; Nicholls, CI
2000|Emerging infectious diseases of wildlife - Threats to biodiversity and human health (vol 287, pg 443, 2000) Daszak, P
2006|Pure enhancement. Silvers, Anita
