2006|Nanotechnologies for environmental cleanup Tratnyek, Paul G.; Johnson, Richard L.
2007|A review of assessments conducted on bio-ethanol as a transportation fuel from a net energy, greenhouse gas, and environmental life cycle perspective von Blottnitz, Harro; Curran, Mary Ann
2012|Pharmaceuticals and Personal Care Products in the Environment: What Are the Big Questions? Boxall, Alistair B. A.; Rudd, Murray A.; Brooks, Bryan W.; Caldwell, Daniel J.; Choi, Kyungho; Hickmann, Silke; Innes, Elizabeth; Ostapyk, Kim; Staveley, Jane P.; Verslycke, Tim; Ankley, Gerald T.; Beazley, Karen F.; Belanger, Scott E.; Berninger, Jason P.; Carriquiriborde, Pedro; Coors, Anja; DeLeo, Paul C.; Dyer, Scott D.; Ericson, Jon F.; Gagne, Francois; Giesy, John P.; Gouin, Todd; Hallstrom, Lars; Karlsson, Maja V.; Larsson, D. G. Joakim; Lazorchak, James M.; Mastrocco, Frank; McLaughlin, Alison; McMaster, Mark E.; Meyerhoff, Roger D.; Moore, Roberta; Parrott, Joanne L.; Snape, Jason R.; Murray-Smith, Richard; Servos, Mark R.; Sibley, Paul K.; Straub, Juerg Oliver; Szabo, Nora D.; Topp, Edward; Tetreault, Gerald R.; Trudeau, Vance L.; Van Der Kraak, Glen
2006|Healthy nature healthy people: 'contact with nature' as an upstream health promotion intervention for populations Maller, C; Townsend, M; Pryor, A; Brown, P; St Leger, L
2004|Defining environmental river flow requirements - a review Acreman, M; Dunbar, MJ
2004|Land-use change and hydrologic processes: a major focus for the future DeFries, R; Eshleman, NK
2004|Global urbanization and the separation of humans from nature Turner, WR; Nakamura, T; Dinetti, M
2011|From "one medicine" to "one health" and systemic approaches to health and well-being Zinsstag, J.; Schelling, E.; Waltner-Toews, D.; Tanner, M.
2009|A review of waste management practices and their impact on human health Giusti, L.
2000|Physical and chemical characteristics of blast furnace, basic oxygen furnace, and electric arc furnace steel industry slags Proctor, DM; Fehling, KA; Shay, EC; Wittenborn, JL; Green, JJ; Avent, C; Bigham, RD; Connolly, M; Lee, B; Shepker, TO; Zak, MA
2011|Challenging paradigms in estuarine ecology and management Elliott, M.; Whitfield, A. K.
2007|Cradle-to-cradle design: creating healthy emissions - a strategy for eco-effective product and system design Braungart, Michael; McDonough, William; Bollinger, Andrew
2000|Health effects of residence near hazardous waste landfill sites: A review of epidemiologic literature Vrijheid, M
2003|Invertebrate traits for the biomonitoring of large European rivers: an initial assessment of alternative metrics Gayraud, S; Statzner, B; Bady, P; Haybachp, A; Scholl, F; Usseglio-Polatera, P; Bacchi, M
1993|DEFINING AND ASSESSING ECOLOGICAL INTEGRITY - BEYOND WATER-QUALITY KARR, JR
2001|The toxins of Lyngbya majuscula and their human and ecological health effects Osborne, NJT; Webb, PM; Shaw, GR
2006|Environmental benefits of conservation buffers in the United States: Evidence, promise, and open questions Lovell, ST; Sullivan, WC
2003|Uncertainties for endocrine disrupters: Our view on progress Daston, GP; Cook, JC; Kavlock, RJ
2009|An area-level model of vehicle-pedestrian injury collisions with implications for land use and transportation planning Wier, Megan; Weintraub, June; Humphreys, Elizabeth H.; Seto, Edmund; Bhatia, Rajiv
2006|The clock is ticking - Revegetation and habitat for birds and arboreal mammals in rural landscapes of southern Australia Vesk, PA; Mac Nally, R
2005|Effects of pH and cationic and nonionic surfactants on the adsorption of pharmaceuticals to a natural aquifer material Hari, AC; Paruchuri, RA; Sabatini, DA; Kibbey, TCG
