2010|Ecosystem Services 
2008|Ecosystem services for sale [Anonymous]
1983|EXTINCTION, SUBSTITUTION, AND ECOSYSTEM SERVICES EHRLICH, PR; MOONEY, HA
2014|Ecosystem Services for Sustainability Quinn, Judy
2008|Ecosystem services for sale [Anonymous]
2013|Payment for ecosystem services Benjamin, A H
2002|Valuing ecosystem services Heal, G
2015|CAPACITY DEVELOPMENT Mueller, Eduard; Appleton, Michael R.; Ricci, Glenn; Valverde, Allan; Reynolds, David W.
2015|Ecosystem Service and Environmental Health. Spence, Porche L; Floyd, Minnjuan Flournoy; Howard, Joniqua; Simmons, Candice
1997|Valuing ecosystem services Salzman, J
2013|Insects and Sustainability of Ecosystem Services Schowalter, TD
2008|Ecosystem services - Does only count what costs? Daniel, Otto
2014|Payment for Ecosystem Services [Anonymous]
2001|Pricing biodiversity and ecosystem services Pimentel, D
2013|Soil Ecology and Ecosystem Services Mitchell, R.
1998|Ecosystem services and the law Salzman, J
2016|Political ecology of ecosystem services Daugeard, Marion
2017|Impact of Biological Invasions on Ecosystem Services 
2014|Valuing ecosystem services in macroeconomic settings Smith, Rodney B. W.; Gemma, Masahiko
2015|Data from: Historical dynamics of ecosystem services bundles Renard, Delphine; Rhemtulla, Jeanine M; Bennett, Elena M
2014|The Justices and Injustices of Ecosystem Services Morrow, Karen
2015|Spatiotemporal data on multiple ecosystem services Renard, Delphine
2014|Appendix S1 Moriniere, Jerome; Hendrich, Lars; Haszprunar, Gerhard; Hebert, Paul DN; Hausmann, Axel; Kohler, Frank; Balke, Michael
2013|Living Roofs and Ecosystem Services (c) Cooper, Zoe
2010|Indirect Use Value Primack, Richard B.
2009|Ecosystem services on the half-shell Pelley, Janet
2008|Ecosystem Services and the Green City Hirsch, Dennis D.
2013|Ecosystem services - essential but overlooked Ehrlich, Paul R.
2013|INSECTS and Sustainability of Ecosystem Services Preface Maser, Chris
2014|Agroforestry Systems in India: Livelihood Security & Ecosystem Services Preface Dagar, J. C.; Singh, A. K.; Arunachalam, A.
2014|Dataset Gaitan, Juan J; Bran, Donaldo; Oliva, Gabriel; Maestre, Fernando T; Aguiar, Martin R; Jobbagy, Esteban; Buono, Gustavo; Ferrante, Daniela; Nakamatsu, Viviana; Ciari, Georgina; Salomone, Jorge; Massara, Virginia
2011|Natural Capital: Theory & Practice of Mapping Ecosystem Services 
1998|Ecosystem services value, research needs, and policy relevance: a commentary Turner, RK; Adger, WN; Brouwer, R
2001|Pricing biodiversity and ecosystem services - Response Gatto, M; De Leo, G
2015|Ecosystem Services in Agricultural and Urban Landscapes Daigneault, Adam
2014|The justices and injustices of ecosystem services Lukasiewicz, Anna
2003|Forest ecosystem services as production inputs Pattanayak, SK; Butry, DT
2015|INTEGRATED GROUNDWATER RESOURCE MANAGEMENT Roumasset, James A.; Wada, Christopher A.
2013|Ecosystem Services. Concept, Methods and Case Studies Klink, Hans-Juergen
2011|Maintaining multifunctionality as landscapes provide ecosystem services Jarchow, Meghann E.; Liebman, Matt
2009|Ecosystem services - out of the wilderness? Ellison, Katherine
2010|Assessment of ecosystem services. Harrison, Paula A.; Luck, Gary W.; Feld, Christian K.; Sykes, Martin T.
2014|The Justices and Injustices of Ecosystem Services Kistenkas, Frederik H.
2016|Putting a Price on Ecosystem Services Simpson, R. David
2015|Ecosystem Services: From Concept to Practice 
1998|Introduction - Special section: Forum on valuation of ecosystem services - The value of ecosystem services Costanza, R
2017|Editorial - The future of Payments for Ecosystem Services in Cambodia. Simpson, Virginia; Souter, Nicholas J.
2013|Urban ecosystem services. Gomez-Baggethun, Erik; Gren, Asa; Barton, David N.; Langenmeyer, Johannes; McPhearson, Timon; O'Farrell, Patrick; Andersson, Erik; Hamstead, Zoe; Kremer, Peleg
2015|The classification of marine and coastal ecosystem services [2, 35, 36]. Chung, Min Gon; Kang, Hojeong; Choi, Sung-Uk
2014|Foreword: The importance of valuing ecosystem services Costanza, Robert
2014|Appendix S3 Moriniere, Jerome; Hendrich, Lars; Haszprunar, Gerhard; Hebert, Paul DN; Hausmann, Axel; Kohler, Frank; Balke, Michael
2016|Effects of bioenergy production on ecosystem services Clarke, Nicholas
2015|Editorial: Best practices for mapping ecosystem services Willemen, Louise; Burkhart, Benjamin; Crossman, Neville; Drakou, Evangelia G.; Palomo, Ignacio
2011|Quantitative approaches to ecosystem services assessment Scott, Marian; Smith, Ron; Dick, Jan
2006|Assessing ecosystem services to identify conservation priorities. Gross, Liza
2014|CO1-5P Alignments Moriniere, Jerome; Hendrich, Lars; Haszprunar, Gerhard; Hebert, Paul DN; Hausmann, Axel; Kohler, Frank; Balke, Michael
