2016|Ethical Promises and Pitfalls of OneHealth Verweij, Marcel; Bovenkerk, Bernice
2010|Promoting one health [Anonymous]
2014|One health in action Larkin, Malinda
2016|One Health CPD [Anonymous]
2014|Two diseases, one health [Anonymous]
2011|One health, one flu? Capua, I.; Cattoli, G.
2008|One-health wonders Cima, Greg
2012|Thinking beyond one health [Anonymous]
2009|One-health wonders Nolen, R. Scott; Monath, Thomas P.
2015|'ONE HEALTH'-CONGRESS [Anonymous]
2009|'ONE HEALTH' and parasitology Kaplan, Bruce; Kahn, Laura H.; Monath, Thomas P.; Woodall, Jack
2008|One-health wonders Nolen, R. Scott
2015|Video celebrates One Health [Anonymous]
2010|WSAVA embraces 'one health' [Anonymous]
2016|ONE HEALTH IN BRABANT [Anonymous]
2014|One Health, One Art [Anonymous]
2008|One-health wonders Nolen, R. Scott; Kahn, Laura H.
2008|One health wonders Burns, Katie
2017|One Health travel fellowships [Anonymous]
2016|One Health day [Anonymous]
2009|One-health wonders Nolen, R. Scott; Ksiazek, Thomas G.
2014|Developing One Health [Anonymous]
2017|Emphasizing one health Kelly, Alan M.; Galligan, David; Salman, Mo D.; Osburn, Bennie; Marshak, Robert
2009|One-health wonders Kahler, Susan C.; Kaplan, Bruce
2009|One-health wonders Cima, Greg
2008|One-health wonders Osborne, Malinda; Franz, David
2008|One-health wonders Nolen, R. Scott; Steele, James H.
2012|Resistance and one health [Anonymous]
2013|Support for One Health [Anonymous]
2009|One-health wonders Osborne, Malinda
2017|Progress report - One Health Waters, Adele
2013|Collaborating on one health Reeve-Johnson, Lloyd
2017|Emphasizing one health Reply Nielsen, N. Ole; Eyre, Peter
2008|One-health Web site debuts [Anonymous]
2012|MSc One Health Analytical Epidemiology Simuunza, M.C.
2012|One Health - 'joining the dots' Dockrell, Hazel M
2009|'One health' for mountain gorillas [Anonymous]
2011|A win for One Health Bolton, Jennifer
2014|Getting together on One Health [Anonymous]
2012|Pets, vets and one health [Anonymous]
2016|One Health: exploring One Health and expanded circumpolar collaborations Parkinson, Alan
2018|Ecological roles in one health Bryan, Sara; Deem, Sharon L.; Palmer, Jamie
2016|One Health challenges in Greenland Brandt, Asbjorn
2007|AMA adopts one-health policy Nolen, R. Scott
2016|The Alaska One Health Group Brubaker, Mike
2017|One-Health: condemnation or collaboration? Burkgren, Tom
2011|Sharing knowledge on 'one health' [Anonymous]
2012|First International One Health congress Jeggo, Martyn H.
2015|One Health and a world of opportunity Reeve-Johnson, Lloyd
2014|Wildlife - an integral part of One Health [Anonymous]
2012|One Health and its importance to wildlife [Anonymous]
1984|NIGHT WORKLOAD IN ONE HEALTH DISTRICT ARCHER, DPM
2012|The KNMvD - One Health and more! Hellebrekers, Ludo J.
2017|Toxocariasis in Africa: A One Health perspective Hartnack, Sonja; Alobo, Grace; Kankya, Clovice
2017|2016 One Health and Ecohealth Congress Sodhi, Nidhi
2016|One Health in the real world [Anonymous]
2016|International EcoHealth One Health Congress 2016. [Anonymous]
2017|One Health pioneer Lord Soulsby dies [Anonymous]
2017|One Health approach to controlling disease. Richards, Iain
2008|Board further commits to one health initiative [Anonymous]
1984|NIGHT WORKLOAD IN ONE HEALTH DISTRICT BUDD, JD; GREIG, DNH
2009|New commission to promote 'one health' [Anonymous]
2011|Kudos on One Health Commission move McCulloch, William F.
2016|Nov 3 is One Health Day Osterhaus, Ab
2009|Vets and One World One Health Vallis, Rhyll
1984|NIGHT WORKLOAD IN ONE HEALTH DISTRICT HESTER, NWS
2016|Nov 3 is One Health Day [Anonymous]
2014|One Health: WSAVA plans its next step [Anonymous]
2012|MSc In One Health Molecular Biology Wambura, P.
2017|Advancing one health in our communities Meyer, Thomas F.
2012|Convergence of Ecohealth and One Health [Anonymous]
2007|Task force to study one-health initiative [Anonymous]
2016|Welfare and waves, One Health and Hendra Jackson, Anne
2013|One Health: a call to environmental managers Ross, Helen; Carter, R. W. (Bill)
1984|NIGHT WORKLOAD IN ONE HEALTH DISTRICT HOBDAY, PJ
2017|One Health perspective of antimicrobial resistance. Briyne, Nancy De
2016|Strong one-health foundation at Midwestern Larkin, Malinda
2006|One world, one health, one medicine Rezendes, Allison
2010|Investigating the history of 'one health' [Anonymous]
2015|'One Health is voor dierenarts heel gewoon' Swormink, Berrie Klein
2011|Edinburgh to launch 'One health' MSc [Anonymous]
2007|First step in the one-health initiative Kahler, Susan C.
2008|Board further commits to one health initiative [Anonymous]
2016|AVMA, pediatrics academy collaborate toward one health [Anonymous]
2016|The 'One Health' journal: Filling a niche. Osterhaus, Ab; MacKenzie, John
2017|The need for European OneHealth/EcoHealth networks Keune, Hans; Flandroy, Lucette; Thys, Severine; De Regge, Nick; Mori, Marcella; Antoine-Moussiaux, Nicolas; Vanhove, Maarten P. M.; Rebolledo, Javiera; Van Gucht, Steven; Deblauwe, Isra; Hiemstra, Wim; Hasler, Barbara; Binot, Aurelie; Savic, Sara; Ruegg, Simon R.; De Vries, Sjerp; Garnier, Julie; van den Berg, Thierry
2015|The Network for Evaluation of One Health: evidence-based added value of One Health. Haxton, Eva; Sinigoj, Spela; Riviere-Cinnamond, Ana
2015|One Health: The Theory and Practice of Integrated Health Approaches 
2015|'One Health' on practice level requires change in mentality Haneveld, Johan Klein
1953|One health department fights polio. SAWYER, L; GUIDRY, L
2016|MINISTER SCHIPPERS OPENS NETHERLAND'S CENTRE FOR ONE HEALTH [Anonymous]
2017|ONE HEALTH APPROACH TO COST-EFFECTIVE RABIES CONTROL IN INDIA Fitzpatrick, Meagan C.; Shah, Hiral A.; Bilinski, Alyssa M.; Kakkar, Manish; Clark, Andrew D.; Townsend, Jeffrey P.; Abbas, Syed S.; Galvani, Alison P.
2016|Ketamine: a 'One Health' issue for us all White, K.
2014|Introducing 'One Health' as an overlooked concept in Iran. Sharifi, Hamid; Karamouzian, Mohammad
2018|One health and a new Canadian vet school? Gyles, Carlton
2017|Referral practice and children's hospital form One Health partnership [Anonymous]
2012|One health high on the agenda at world congress [Anonymous]
2010|Humans, Animals-It's One Health. Or Is It? [Anonymous]
2009|Rockefeller Foundation funding creation of One Health Commission [Anonymous]
2016|Welcome to the EcoHealth One Health Congress 2016 Jeggo, Martyn H.; Mackenzie, John S.
2016|Antimicrobial resistance: UN endorses a One Health approach [Anonymous]
2015|Veterinary and medical associations mark a One Health milestone [Anonymous]
2012|'One health, one medicine' and critical public health Green, Judith
2014|ONE HEALTH Ebola and One Health Moore, Peter
2018|One health and preventing disease associated with animals Response Daly, Russell F.; House, Jennifer; Mathewson, Abigail; Pride, Kerry; Stanek, Danielle; Stobierski, Mary Grace
2017|One health and a new Canadian vet school? Gyles, Carlton
2008|Grant aids Cummings' one-health efforts in Indonesia [Anonymous]
2017|One Health and the Politics of Antimicrobial Resistance Patel, Jean B.
1999|Good nutrition just one health obstacle for the institutionalized elderly Jackobs, MK
2017|Collaborating on One Health and veterinary public health education 
2013|Collaborating on One Health. Reeve-Johnson, Lloyd
2017|Marking the life of a One Health champion [Anonymous]
2016|One Health and the International Fund for Agriculture Development. Seifman, Richard; Katz, Rebecca
2016|One Health in the Canadian North - priorities, perceptions, and programs Jenkins, Emily; Schurer, Janna; Simon, Audrey; Bachand, Nicholas; Stephen, Craig
2017|Marking the life of a One Health champion. [Anonymous]
2015|Vets and doctors pledge to cooperate on One Health [Anonymous]
2014|Buy-in needed for one health concept to work Wittnich, Carin; Belanger, Michael
2008|Grant aids Cummings' one-health efforts in Indonesia [Anonymous]
2017|One Health Commission, EPA launch pet health survey [Anonymous]
2015|"One Health"-Symposium in Honor of Prof. Dieter Grossklaus [Anonymous]
2017|Incorporation of "One Health" Into Obstetrics and Gynecology Jasani, Sona; Fuchs, Ashley; Jasani, Sona; Bergmann, Jonathan; Spencer, Brint; Bachmann, Gloria
2016|Inaugural 'One Health Day' organised on 3 November 2016 
2013|One Health: The Human-Animal-Environment Interfaces in Emerging Infectious Diseases: The Concept and Examples of a One Health Approach 
2017|Perspective: The One Health Concept - the Aztec empire and beyond. Puente, Jose Luis; Calva, Edmundo
2014|ONE HEALTH Encouraging owners to walk their dogs [Anonymous]
2015|Spirometry Utilization in COPD; One Health System's Experience Pichurko, Bohdan; McCarthy, Kevin
2017|Applications open for One Health travelling fellowship awards Molyneux, Jacqui
2017|EC consults on One Health actions to tackle antimicrobial resistance [Anonymous]
2016|Antimicrobial resistance: UN endorses a One Health approach [Anonymous]
2013|Control of neglected zoonoses using a one health approach Johansen, M. V.; Magnussen, P.; Mejer, H.; Braae, U.; Trevisan, C.; Saarnak, C.
2016|Mission Rabies founder to receive WSAVA's One Health Award [Anonymous]
2015|'One Health'- approach to quickly respond to new zoonoses Haneveld, Johan Klein
2014|Professional separation and the re-emergence of One Health [Anonymous]
2010|One Health Summit and study setting stage for policies, initiatives [Anonymous]
2015|One Health approach to exploring what drives zoonoses [Anonymous]
2016|Raising awareness of the need for One Health interactions [Anonymous]
2017|One Health: Earning our seat on the lifeboat! Charbonneau, George
2017|Applications open for One Health travelling fellowship awards. Molyneux, Jacqui
2010|World Veterinary Day to center on 'One World, One Health' [Anonymous]
2018|Why the antibiotic resistance crisis requires a One Health approach Van Puyvelde, Sandra; Deborggraeve, Stijn; Jacobs, Jan
2018|One health and preventing disease associated with animals Kaplan, Bruce
2015|A Review of Patient Mortality in One Health Board Williams, A.; Cox, R.; Woodward, A.
2012|Towards one Africa, one health: The Southern African Centre for Infectious Disease Surveillance One Health focus on infectious diseases Rweyemamu, Mark M.; Paweska, Janusz; Kambarage, Dominic; Namuba, Filomena
2009|The brewing storm Kaplan, Bruce; Kahn, Laura H.; Monath, Thomas P.
2017|Posthumanist critique and human health: how nonhumans (could) figure in public health research Friese, Carrie; Nuyts, Nathalie
2011|1st International One Health Congress Mackenzie, John S.; Jeggo, Martyn H.
2013|Brucellosis: recent developments towards 'One Health' Plumb, Glenn E.
2008|One health initiative Pappaioanou, Marguerite; Spencer, Harrison
1987|ONE HEALTH-PROFESSIONALS EXPERIENCE WITH SELF-HELP ROUSE, SD
2017|The One Health path to infectious disease prevention and resilience Heymann, David L.; Jay, Jonathan; Kock, Richard
2016|DirecTalk: Musings From the 10th Floor: One Health Dyjack, David
2017|One Health approach to tackle antimicrobial resistance in South East Asia. [Anonymous]
2013|One Health: The Human-Animal-Environment Interfaces in Emerging Infectious Diseases: Food Safety and Security, and International and National Plans for Implementation of One Health Activities 
2014|Epidemiology of Coxiella burnetii Infection in Africa: A OneHealth Systematic Review Crump, John A; Reddy, Elizabeth A; Cleaveland, Sarah; Rubach, Matthew P; Vanderburg, Sky; Halliday, Jo EB
2016|Antibiotic resistance is the quintessential One Health issue Robinson, T. P.; Bu, D. P.; Carrique-Mas, J.; Fevre, E. M.; Gilbert, M.; Grace, D.; Hay, S. I.; Jiwakanon, J.; Kakkar, M.; Kariuki, S.; Laxminarayan, R.; Lubroth, J.; Magnusson, U.; Ngoc, P. Thi; Van Boeckel, T. P.; Woolhouse, M. E. J.
2009|European event advocates one health, prevention Continent celebrates first veterinary week [Anonymous]
2013|One Health: The Human-Animal-Environment Interfaces in Emerging Infectious Diseases Food Safety and Security, and International and National Plans for Implementation of One Health Activities Preface 
2014|One Health Preface Vallat, Bernard
2009|[ "One medicine - one health" and the veterinary medicine in Switzerland]. Zinsstag, Jakob; Schelling, Esther; Tanner, Marcel
2014|Grand challenges in cellular biochemistry: the "next-gen" biochemistry Giulivi, Cecilia
2013|One Health: The Human-Animal-Environment Interfaces in Emerging Infectious Diseases The Concept and Examples of a One Health Approach Preface 
2017|One Health and the expansion of veterinary education and practice in Canada. Nielsen, N Ole
2017|Erratum to: The One Health path to infectious disease prevention and resilience. [Anonymous]
2017|COMMENT ON: ZIKA IN SINGAPORE: INSIGHTS FROM ONE HEALTH AND SOCIAL MEDICINE REPLY Lysaght, Tamra; Lederman, Zohar; Tambyah, Paul Anantharajah
2015|Advancing integrative "one-health" approaches to global health through multidisciplinary, faculty-led global health field courses Olsen, C.; Conway, J.; DiPrete-Brown, L.; Hutchins, F.; Poulsen, K.; Solheim, K.; Kraus, C.; Gaus, D.; Silawan, T.
2015|One Health The Theory and Practice of Integrated Health Approaches OIE Foreword Vallat, Bernard
2017|One Health strategies for rabies control in rural areas of China Tan, Jimin; Wang, Ruyi; Ji, Senlin; Su, Shuo; Zhou, Jiyong
2017|IDENTIFYING CHALLENGES AND OPPORTUNITIES FOR ONE HEALTH SYSTEMS STRENGTHENING IN GUINEA Standley, Claire J.; Carlin, Ellen; Sorrell, Erin M.; Barry, Alpha M.; Diakite, Aboubacar S.; Koivogui, Lamine; Keita, Mamady S.; Mane, Seny; Martel, Lise; Katz, Rebecca L.
2016|The 2nd World Veterinary Association-World Medical Association Global Conference on One Health. 
2013|One health approach for control of neglected parasitic zoonoses - an African perspective Mukaratirwa, S.
1998|One health, one earth, one sun - Nietzsche's respect for natural science Leiter, B
2017|Transmission of ESBL-producing Escherichia coli between humans and poultry - A one-health study from Ghana Eibach, D.; Imirzalioglu, C.; Hogan, B.; Krumkamp, R.; Falgenhauer, L.; Danquah, C.; Poppert, S.; Sarpong, N.; Owusu-Dabo, E.; May, J.
2017|One Health to enhance the health status of nomadic pastoralists and their livestock Villanucci, A.; Fascendini, M.; Cristofori, E. I.; Demarchi, A.; Pecchioni, V.; Salza, A.
2017|Conference charts one-health approach to addressing obesity in pets, people Burns, Katie
2012|Convergence of EcoHealth and One Health. Zinsstag, Jakob
2015|One Health and dentistry. Williams, Larry
2018|One Health and the expansion of veterinary education and practice in Canada Nielsen, N. Ole
2017|West Nile surveillance and response in Italy: a one health approach Parodi, P.; Rizzo, C.; Albonico, M.; Calzolari, M.; Chiari, M.; Capelli, G.; Casalone, C.; Angelini, P.; Monaco, F.; Maraglino, F.
2014|Three Sides of the Same Coin: Aquatic Animals-One Health-Ecosystem Health Faisal, Mohamed
2012|One Medicine, One Health: Human and Veterinary Medicine Pharmacovigilance Node in the University Network in Uruguay Dib, A. R.; Romero, M. R.
2008|ONE HEALTH INITIATIVE: AVMA, AMA (Reprinted from Equine Health Report, Fall/Winter, 2007) [Anonymous]
2017|Mapping One health curriculum for better disease prevention and control: what and why Jiang, L.; Qui, Q. H. Nguyen; Simpson, G.; Quesada, F.; Artama, W. T.; Joseph, J.; Thys, S.
2017|Clinical photography using a mobile smartphone application: The dermatology experience at one health care enterprise Wyatt, Kirk; Willaert, Brian; Pallagi, Peter; Uribe, Richard; Yiannias, James; Hellmich, Thomas
2012|Towards One Health Knowledge Networks: A Southern African Centre of Infectious Disease Surveillance case study Beda, Eric
2018|A roadmap for zoonotic tuberculosis: a One Health approach to ending tuberculosis Dean, Anna S.; Forcella, Simona; Olea-Popelka, Francisco; El Idrissi, Ahmed; Glaziou, Philippe; Benyahia, Amina; Mumford, Elizabeth; Erlacher-Vindel, Elisabeth; Gifford, Glen; Lubroth, Juan; Raviglione, Mario; Fujiwara, Paula
2017|Rabies-what is necessary to achieve 'zero by 30'? Durrheim, David N; Blumberg, Lucille
2015|Indigenous One Health in the Arctic, a Systematic Literature Review of Circumpolar Zoonoses. Nelson, C. M.; Romain, S. J.; Davis, M. F.
