2005|One medicine? Alder, Martin; Easton, Graham
2004|'One medicine' [Anonymous]
2004|'One medicine' [Anonymous]
2007|One world, one medicine [Anonymous]
2007|One world, one medicine [Anonymous]
1982|ONE WORLD - ONE MEDICINE HARRISON, TS
1977|ONE MEDICINE, ONE TOXICOLOGY OEHME, FW
2009|One Medicine for WSAVA [Anonymous]
1975|2 DISCIPLINES, ONE MEDICINE [Anonymous]
2007|Promoting one medicine among veterinary students Nolen, R. Scott; Hendrix, Charles M.
2018|Reflecting one medicine when describing medical fields Bell, Ford W.
1968|One medicine. Lechner, C B
2011|One Medicine Doesn't Fit All [Anonymous]
2006|One world, one health, one medicine Rezendes, Allison
2008|One-medicine approach hinges on local leadership and participation Kahler, Susan C.
2012|'One health, one medicine' and critical public health Green, Judith
1957|Of one medicine, nine surgeries. JOHNSTON, C G
2009|[ "One medicine - one health" and the veterinary medicine in Switzerland]. Zinsstag, Jakob; Schelling, Esther; Tanner, Marcel
2015|One Medicine One Science and policy. Sriramarao, P; Murtaugh, Michael P; Berger, Kavita; Travis, Dominic; Kennedy, Shaun; Steer, Clifford J; Cardona, Carol
1975|Editorial: Two disciplines, one medicine. [Anonymous]
1999|Some epistemological questions about world hypotheses, loving openness, truth, and one medicine. Kappauf, H W
2007|One world, one medicine Leslie, Norman W.
2013|Origins of 'one medicine' Woods, Abigail
2005|One medicine Burke, J
2012|One Medicine, One Health: Human and Veterinary Medicine Pharmacovigilance Node in the University Network in Uruguay Dib, A. R.; Romero, M. R.
1965|One medicine-human, dental, animal. Ravdin, I S
2015|Behavior, biological markers, interspecific outcome assessments, and One Medicine Overall, Karen L.
1998|One medicine Johnson, AE
1965|Dental medicine's role in 'one medicine'. Burket, L W
2007|One medicine--today's imperative. Hueston, William; Klausner, Jeffrey; Singleton, Stephan
2010|One Health: the small animal dimension [Anonymous]
2007|One medicine: an introduction. Gardner, Murray B
2008|One world, one health, one medicine Frank, Diane
2009|Where's the Mouse Pathology Training? Bouley, D.; Meyerholz, D.; Sellers, R.; Boyd, K.; La Perle, K.
1973|One medicine--human and veterinary. Cass, J
1971|There is but one medicine. Parish, L C; Schwartzman, R M
2003|Virchow revisited: Emerging zoonoses Brown, C
2013|Number of exposed drivers on the crash day by classification and number of medicines used.. Lagarde, Emmanuel; Orriols, Ludivine; Delorme, Bernard; Gadegbeku, Blandine; Tricotel, Aurore; Contrand, Benjamin; Laumon, Bernard; Salmi, Louis-Rachid
1962|One medicine for more than one world. SCHMIDT, C F
2014|Leon Saunders, William Osler and Rudolf Virchow: their contributions to veterinary pathology and "one medicine". Katz, Frank F
2015|'Together we go further' Swormink, Berrie Klein
2009|Health experts call for unified efforts to face climate issues. One medicine symposium focused on potential impact. Cima, Greg
2008|Teaching "One Medicine, One Health" Kahn, Laura H.; Kaplan, Bruce; Monath, Thomas P.; Steele, James H.
2015|Combatting the Myth of Neuropathology Baumgaertner, W.
1999|[One medicine]. Schweiger, C
