1999|Community health and wellness: A socioecological approach Croker, F
1992|PREVENTION AND TREATMENT OF JUVENILE PROBLEM BEHAVIOR - A PROPOSAL FOR A SOCIOECOLOGICAL APPROACH SCHOLTE, EM
2016|The closeness of society affects Taijin-kyofusho tendencies: A socioecological approach employing Multi-methods Sato, Kosuke; Yuki, Masaki
2017|Passion, Relational Mobility, and Proof of Commitment: A Comparative Socio-Ecological Analysis of an Adaptive Emotion in a Sexual Market. Yamada, Junko; Kito, Mie; Yuki, Masaki
2015|European Wood-pastures in Transition: A Socio-ecological Approach Olwig, Kenneth R.
2008|Community health and wellness: A socio-ecological approach, 3rd edn White, Sue
2008|Community health and wellness: A socio-ecological approach Gaskill, Deanne
2007|Community health and wellness: a socio-ecological approach (third edition) Johnson, Anne
2017|Passion, Relational Mobility, and Proof of Commitment: A Comparative Socio-Ecological Analysis of an Adaptive Emotion in a Sexual Market Yamada, Junko; Kito, Mie; Yuki, Masaki
1991|THE TRANSITION BETWEEN HUNTING AND GATHERING AND THE SPECIALIZED HUSBANDRY OF RESOURCES - A SOCIOECOLOGICAL APPROACH LAYTON, R; FOLEY, R; WILLIAMS, E
2015|A socio-ecological approach to national differences in online privacy concern: The role of relational mobility and trust Thomson, Robert; Yuki, Masaki; Ito, Naoya
1976|SOCIOECOLOGICAL APPROACH TO CONTROL OF SCHISTOSOMA-MANSONI IN ST-LUCIA DALTON, PR
1998|Socioecology of vertebrates. Alleva, Enrico; Carere, Claudio
2012|The future of inter-country adoption: A paradigm shift for this century Fronek, Patricia; Cuthbert, Denise
2006|The Determinants of Franchisor Survival: The Case of Korean Franchising Industry 
2010|The socio-ecological approach turns variance among populations from a liability to an asset Kesebir, Selin; Oishi, Shigehiro; Spellman, Barbara A.
2014|The Acculturation of Relational Mobility: An Investigation of Asian Canadians Zhang, Rui; Li, Liman Man Wai
2017|A Socioecological Approach to Women's Participation in Competitive Softball During Middle and Late Adulthood Implications for the Future Naar, Jill J.; Wong, Jen D.; West, Stephanie T.; Son, Julie S.; Liechty, Toni
2015|Regional Planning for Linking Parks and Landscape: Innovative Issues Voghera, Angioletta
2017|Relational mobility and close relationships: A socioecological approach to explain cross-cultural differences Kito, Mie; Yuki, Masaki; Thomson, Robert
2006|Determinants of older driver safety from a socioecological perspective Awadzi, K; Classen, S; Garvan, C; Komaragiri, V
2014|Socio-ecological super-determination of health in rural areas in Humaita, State of Amazonas, Brazil Schuetz, Gabriel Eduardo; da Silva Mello, Marcia Gomide; Ribeiro de Carvalho, Marcia Aparecida; Camara, Volney de Magalhaes
2017|HIV/AIDS Communication Inequalities and Associated Cognitive and Affective Outcomes: A Call for a Socioecological Approach to AIDS Communication in Sub-Saharan Africa Bekalu, Mesfin Awoke; Eggermont, Steven; Viswanath, K.
2017|Urban and rural river restoration in France: a typology Zingraff-Hamed, Aude; Greulich, Sabine; Pauleit, Stephan; Wantzen, Karl M.
2016|Contribution from Long-Term Ecological Monitoring to research and management of Donana LTSER Platform Diaz-Delgado, R.; Carro, F.; Quiros, F.; Osuna, A.; Baena, M.
2006|Action Schools! BC: a socioecological approach to modifying chronic disease risk factors in elementary school children. Naylor, Patti-Jean; Macdonald, Heather M; Reed, Katharine E; McKay, Heather A
2011|Examining Public Health Concerns from a Critical Perspective Dakubo, Crescentia Y.
2015|Socio-Ecological Approaches to Health, Environment, and Community 
2007|Evolving directions in health promotion workforce development. Harris, Neil; McPhail-Bell, Karen
2016|Strategic Planning in Turbulent Environments: A Social Ecology Approach to Scenarios Ramirez, Rafael; Selsky, John W.
2013|Evolution of sociality in rodents: is the traditional socioecological approach universal? Gromov, V.S.
2017|A Socioecological Approach to Relational Demography: How Relative Representation and Respectful Coworkers Affect Job Attitudes King, Eden; Dawson, Jeremy; Jensen, Jaclyn; Jones, Kristen
2003|University-based local innovation systems Alves, A. Da Silva; De Melo, M. A. Campelo
