2007|Interspecies interactions within oral microbial communities Kuramitsu, Howard K.; He, Xuesong; Lux, Renate; Anderson, Maxwell H.; Shi, Wenyuan
2009|The spread of Conservation Agriculture: justification, sustainability and uptake Kassam, Amir; Friedrich, Theodor; Shaxson, Francis; Pretty, Jules
1985|FROM OPTIMIZING TO LEARNING - A DEVELOPMENT OF SYSTEMS THINKING FOR THE 1990S CHECKLAND, P
2007|The art and practice of systems biology in medicine: Mapping patterns of relationships van der Greef, J.; Martin, S.; Juhasz, P.; Adourian, A.; Plasterer, T.; Verheij, E. R.; McBurney, R. N.
1994|TEMPO, MODE, THE PROGENOTE, AND THE UNIVERSAL ROOT DOOLITTLE, WF; BROWN, JR
2005|Development of system thinking skills in the context of earth system education Assaraf, OBZ; Orion, N
2003|Teaching biotechnology through case studies - Can we improve higher order thinking skills of nonscience majors? Dori, YJ; Tal, RT; Tsaushu, M
2013|Valuing green infrastructure in an urban environment under pressure - The Johannesburg case Schaeffler, Alexis; Swilling, Mark
2011|Systems thinking, market failure, and the development of innovation policy: The case of Australia Dodgson, Mark; Hughes, Alan; Foster, John; Metcalfe, Stan
1997|Delivering clinical preventive services is a systems problem Solberg, LI; Kottke, TE; Conn, SA; Brekke, ML; Calomeni, CA; Conboy, KS
2008|Androgen and prostate cancer: Is the hypothesis dead? Hsing, Ann W.; Chu, Lisa W.; Stanczyk, Frank Z.
2002|Algorithmic, LOCS and HOCS (chemistry) exam questions: performance and attitudes of college students Zoller, U; Dori, YJ
2008|Mental models, moral imagination and system thinking in the age of globalization Werhane, Patricia H.
2004|How to restore Bertalanffian systems thinking Mulej, M; Potocan, V; Zenko, Z; Kajzer, S; Ursic, D; Knez-Riedl, J; Lynn, M; Ovsenik, J
2009|System-oriented supply chain risk management Oehmen, Josef; Ziegenbein, Arne; Alard, Robert; Schoensleben, Paul
2009|Roadmapping 3G mobile TV: Strategic thinking and scenario planning through repeated cross-impact handling Pagani, Margherita
1991|TOLERANCE FOR MENTAL EFFORT - SELF-RATINGS RELATED TO PERCEPTION, PERFORMANCE AND PERSONALITY DORNIC, S; EKEHAMMAR, B; LAAKSONEN, T
2004|Association study of an SNP combination pattern in the dopaminergic pathway in paranoid schizophrenia: a novel strategy for complex disorders Xu, Q; Jia, YB; Zhang, BY; Zou, K; Tao, YB; Wang, YP; Qiang, BQ; Wu, GY; Shen, Y; Ji, HK; Huang, Y; Sun, XQ; Ji, L; Li, YD; Yuan, YB; Shu, L; Yu, X; Shen, YC; Yu, YQ; Ju, GZ
2014|Fuzzy Cognitive Maps for futures studies A-methodological assessment of concepts and methods Jetter, Antonie J.; Kok, Kasper
2010|Detecting Supply Chain Innovation Potential for Sustainable Development Isaksson, Raine; Johansson, Peter; Fischer, Klaus
2008|Value network dynamics in 3G-4G wireless communications: A systems thinking approach to strategic value assessment Pagani, Margherita; Fine, Charles H.
2012|Development and evaluation of a 3-day patient safety curriculum to advance knowledge, self-efficacy and system thinking among medical students Aboumatar, Hanan J.; Thompson, David; Wu, Albert; Dawson, Patty; Colbert, Jorie; Marsteller, Jill; Kent, Paula; Lubomski, Lisa H.; Paine, Lori; Pronovost, Peter
2010|System Thinking Skills at the Elementary School Level Assaraf, Orit Ben-Zvi; Orion, Nir
2008|Bridging the educational research-teaching practice gap Anderson, Trevor R.; Schoenborn, Konrad J.
