1968|The tragedy of the commons. The population problem has no technical solution; it requires a fundamental extension in morality. Hardin, G
1998|Can patents deter innovation? The anticommons in biomedical research Heller, MA; Eisenberg, RS
2002|Reputation helps solve the 'tragedy of the commons' Milinski, M; Semmann, D; Krambeck, HJ
1998|The tragedy of the anticommons: Property in the transition from Marx to markets Heller, MA
1984|EFFECTS OF GROUP IDENTITY ON RESOURCE USE IN A SIMULATED COMMONS DILEMMA KRAMER, RM; BREWER, MB
2000|Cooperation through image scoring in humans Wedekind, C; Milinski, M
2011|Leadership, social capital and incentives promote successful fisheries Gutierrez, Nicolas L.; Hilborn, Ray; Defeo, Omar
1990|THE TRAGEDY OF THE COMMONS - 22 YEARS LATER FEENY, D; BERKES, F; MCCAY, BJ; ACHESON, JM
2001|Tragedy of the commons as a result of root competition Gersani, M; Brown, JS; O'Brien, EE; Maina, GM; Abramsky, Z
2006|Root competition: beyond resource depletion Schenk, HJ
2006|Local migration promotes competitive restraint in a host-pathogen 'tragedy of the commons' Kerr, B; Neuhauser, C; Bohannan, BJM; Dean, AM
2003|Volunteering leads to rock-paper-scissors dynamics in a public goods game Semmann, D; Krambeck, HJR; Milinski, M
1991|DEVELOPMENT NARRATIVES, OR MAKING THE BEST OF BLUEPRINT DEVELOPMENT ROE, EM
1998|Extensions of "The Tragedy of the Commons" Hardin, G
2007|The tragedy of the commons in evolutionary biology Rankin, Daniel J.; Bargum, Katja; Kokko, Hanna
2000|Trust, social dilemmas and collective memories Rothstein, B
2008|Systemic Risk Schwarcz, Steven L.
2006|Resource competition and social conflict in experimental populations of yeast MacLean, RC; Gudelj, I
2004|Stochastic wealth dynamics and risk management among a poor population Lybbert, TJ; Barrett, CB; Desta, S; Coppock, DL
2010|Evolutionary Establishment of Moral and Double Moral Standards through Spatial Interactions Helbing, Dirk; Szolnoki, Attila; Perc, Matjaz; Szabo, Gyoergy
2004|Trustworthiness and competitive altruism can also solve the "tragedy of the commons" Barclay, P
2001|Rock-scissors-paper and the survival of the weakest Frean, M; Abraham, ER
1998|Market or community failure? Critical perspectives on common property research McCay, BJ; Jentoft, S
2006|Stabilizing the Earth's climate is not a losing game: Supporting evidence from public goods experiments Milinski, M; Semmann, D; Krambeck, HJ; Marotzke, J
2008|Sanctions, Cooperation, and the Stability of Plant-Rhizosphere Mutualisms Kiers, E. Toby; Denison, R. Ford
2009|Root decisions Hodge, Angela
2006|A perfect moral storm: Climate change, intergenerational ethics and the problem of moral corruption Gardiner, Stephen M.
1981|COMMON PROPERTY EXTERNALITIES - ISOLATION, ASSURANCE, AND RESOURCE DEPLETION IN A TRADITIONAL GRAZING CONTEXT RUNGE, CF
2004|Worker reproduction and policing in insect societies: an ESS analysis Wenseleers, T; Helantera, H; Hart, A; Ratnieks, FLW
2005|Understanding the social costs of narcissism: The case of the tragedy of the commons Campbell, WK; Bush, CP; Brunell, AB; Shelton, J
2009|Fencing for conservation: Restriction of evolutionary potential or a riposte to threatening processes? Hayward, Matt W.; Kerley, Graham I. H.
1999|Carbon gain in a multispecies canopy: the role of specific leaf area and photosynthetic nitrogen-use efficiency in the tragedy of the commons Schieving, F; Poorter, H
2003|Tropical soils and food security: The next 50 years Stocking, MA
1992|THE TRAGEDY OF THE COMMONS AND ECONOMIC-GROWTH - WHY DOES CAPITAL FLOW FROM POOR TO RICH COUNTRIES TORNELL, A; VELASCO, A
1973|Tropical Agroecosystems: These habitats are misunderstood by the temperate zones, mismanaged by the tropics. Janzen, D H
1997|Pastoralism: Governance and development issues Fratkin, E
2012|Bacterial Quorum Sensing and Metabolic Incentives to Cooperate Dandekar, Ajai A.; Chugani, Sudha; Greenberg, E. Peter
2001|Making space for community resource management in fisheries St Martin, K
2004|The romance of the public domain Chander, A; Sunder, M
2002|Intra-plant versus inter-plant root competition in beans: avoidance, resource matching or tragedy of the commons Maina, GG; Brown, JS; Gersani, M
1998|Not only the tragedy of the commons: Misperceptions of bioeconomics Moxnes, E
2011|Risk of collective failure provides an escape from the tragedy of the commons Santos, Francisco C.; Pacheco, Jorge M.
2009|The Sex Ratio Transition in Asia Guilmoto, Christophe Z.
2006|Incentive and service differentiation in P2P networks: A game theoretic approach Ma, Richard T. B.; Lee, Sam C. M.; Lui, John C. S.; Yau, David K. Y.
