2001|Veterinary public health teaching Caldwell-McNay, Y
1952|Veterinary Public Health. Worton, H
2004|Veterinary public health Murray, G
1979|VETERINARY PUBLIC-HEALTH IN IRELAND [Anonymous]
2005|Making veterinary public health 'sexy' [Anonymous]
1997|Veterinary Public Health Association meeting [Anonymous]
1941|Diploma in Veterinary Public Health. [Anonymous]
2016|Veterinary public health in aquatic food security [Anonymous]
1999|Future trends in veterinary public health Hansen, JW
2006|Integrated Food Safety and Veterinary Public Health Buncic, S
1959|First Institute On Veterinary Public Health Practice. [Anonymous]
2003|Texas university highlights veterinary public health [Anonymous]
1984|VETERINARY PUBLIC-HEALTH ASPECTS OF CAMPYLOBACTER INFECTIONS [Anonymous]
1975|VETERINARY PUBLIC-HEALTH ASPECTS OF ANIMAL REGULATION DIETERICH, WH
2007|Changing the face of veterinary public health [Anonymous]
2010|Challenges and opportunities for veterinary public health Clark, Kathryn
2003|Texas university highlights veterinary public health [Anonymous]
1994|VETERINARY PUBLIC-HEALTH - OLD CONCEPTS BECOMING OBSOLETE DOOGE, D
2010|Veterinary public health bill advances in Congress [Anonymous]
2007|Changing the face of veterinary public health [Anonymous]
1976|DEVELOPMENT OF VETERINARY PUBLIC-HEALTH SERVICES [Anonymous]
1940|McGill Diploma in Veterinary Public Health. [Anonymous]
2002|The US Army and veterinary public health [Anonymous]
2002|The US Army and veterinary public health [Anonymous]
2002|Future trends in veterinary public health Akakpo, A; Bruckner, G; Caporale, V; Crawford, LM; Meirelles, JCD; Economides, PA; Hugh-Jones, M; Joshi, DD; Kaboyo, WR; Kachani, M; Lindberg, R; Luangtongkum, S; Mainzer, H; Manalo, DM; Marabelli, R; McEwen, S; Miller, B; Mwiyeriwa, C; Panin, A; Rahman, SA; Robinson, A; van Knapen, F; Woolhouse, MEJ
2004|Veterinary, public health officials seek greater collaboration [Anonymous]
1948|Panel discussion on veterinary public health. BRYAN, C S; BURNEY, L E
1948|Veterinary public health administration. BAUM, D
2006|INTEGRATED FOOD SAFETY AND VETERINARY PUBLIC HEALTH Preface Buncic, Sava
1954|The Practice Of Veterinary Public Health In Ontario. Damude, R F
2009|Veterinary public health workforce bill introduced in Congress [Anonymous]
2017|Collaborating on One Health and veterinary public health education 
1978|VETERINARY PUBLIC-HEALTH TEACHING AND RESEARCH - PLAN FOR FUTURE HEIDELBAUGH, ND; RUSSELL, LH; GENIGEORGIS, CA
1991|THE VESTEY-CHAIR IN FOOD SAFETY AND VETERINARY PUBLIC-HEALTH [Anonymous]
2004|Dear colleagues Meisser, A
2004|Public Health and Veterinary Public Health - A paradigm change? Schlappi, S
2003|What exactly is veterinary public health? Jemmi, T
2005|Veterinary public health - We need an integrated medical and veterinary approach Stewart, C; Cowden, J; McMenamin, J; Reilly, B
2001|Veterinary public health teaching. Caldwell-McNay, V
1949|Colorado veterinary public health program. BAUM, M D
1947|The veterinary public health program. STEELE, J H
1978|INTERNATIONAL WORLD DEVELOPMENTS IN VETERINARY PUBLIC-HEALTH WITH A COMMENT ON HISTORICAL DEVELOPMENTS STEELE, JH
1967|Experimental residency program in veterinary public health. Blenden, D C; Price, E R; Parrish, H M
2013|Exploring the art of veterinary public health Billinge, Richard
2001|Bovine tuberculosis and veterinary public health in Subsaharan Africa: Research areas and outlook for CIRAD-EMVT Roger, F; Quirin, R
