Publication Years	records	% of 929
2017	95	10.226
2016	81	8.719
2015	80	8.611
2012	72	7.750
2014	65	6.997
2010	62	6.674
2009	54	5.813
2013	54	5.813
2005	48	5.167
2011	48	5.167
2008	45	4.844
2007	40	4.306
2006	34	3.660
2018	25	2.691
2004	23	2.476
2002	22	2.368
2000	14	1.507
2001	14	1.507
2003	12	1.292
1996	6	0.646
1990	5	0.538
1998	5	0.538
1999	5	0.538
1992	4	0.431
1988	3	0.323
1994	3	0.323
1997	3	0.323
1983	2	0.215
1993	2	0.215
1995	2	0.215
1965	1	0.108
1966	1	0.108
1971	1	0.108
1978	1	0.108
1991	1	0.108
