Publication Years	records	% of 1702
2017	176	10.341
2013	155	9.107
2016	154	9.048
2015	147	8.637
2012	126	7.403
2014	125	7.344
2011	116	6.816
2010	85	4.994
2009	80	4.700
2008	67	3.937
2007	62	3.643
2005	52	3.055
2006	49	2.879
2002	46	2.703
1997	39	2.291
2003	33	1.939
2004	32	1.880
2000	28	1.645
2018	28	1.645
2001	25	1.469
1998	23	1.351
1999	16	0.940
1994	14	0.823
1996	11	0.646
1993	8	0.470
1995	6	0.353
1992	5	0.294
1991	4	0.235
1990	3	0.176
1976	2	0.118
1987	2	0.118
1970	1	0.059
1971	1	0.059
1981	1	0.059
1982	1	0.059
1985	1	0.059
1989	1	0.059
