Publication Years	records	% of 2096
2015	175	8.349
2011	161	7.681
2016	161	7.681
2012	156	7.443
2014	143	6.823
2017	138	6.584
2009	134	6.393
2013	130	6.202
2008	119	5.677
2010	93	4.437
2005	92	4.389
2007	83	3.960
2006	63	3.006
2004	62	2.958
2003	50	2.385
1997	38	1.813
2002	36	1.718
1999	31	1.479
1996	30	1.431
2000	29	1.384
1993	28	1.336
2001	28	1.336
1998	27	1.288
1995	26	1.240
2018	23	1.097
1994	20	0.954
1992	9	0.429
1991	6	0.286
1988	5	0.239
1989	5	0.239
1978	4	0.191
1990	4	0.191
1979	3	0.143
1981	3	0.143
1982	3	0.143
1983	3	0.143
1986	3	0.143
1977	2	0.095
1980	2	0.095
1985	2	0.095
1987	2	0.095
1984	1	0.048
