Publication Years	records	% of 41915
2013	9670	23.070
2016	5754	13.728
2017	5492	13.103
2015	4841	11.550
2014	3788	9.037
2012	2416	5.764
2011	2136	5.096
2010	1600	3.817
2009	1254	2.992
2018	1015	2.422
2008	919	2.193
2007	750	1.789
2006	525	1.253
2005	408	0.973
2004	317	0.756
2003	284	0.678
2002	268	0.639
2001	221	0.527
2000	219	0.522
1999	170	0.406
1998	133	0.317
1997	86	0.205
1996	79	0.188
1995	70	0.167
1994	62	0.148
1991	36	0.086
1993	32	0.076
1992	31	0.074
1976	18	0.043
1990	18	0.043
1979	17	0.041
1980	15	0.036
1988	14	0.033
1978	13	0.031
1989	11	0.026
1977	9	0.021
1981	6	0.014
1982	6	0.014
1983	5	0.012
1987	5	0.012
1975	3	0.007
1986	3	0.007
1974	2	0.005
1985	2	0.005
1000	1	0.002
1799	1	0.002
1915	1	0.002
1969	1	0.002
1970	1	0.002
1971	1	0.002
1972	1	0.002
1984	1	0.002
