Publication Years	records	% of 41329
2012	3985	9.642
2014	2356	5.701
2017	2155	5.214
2016	2119	5.127
2013	1952	4.723
2015	1798	4.350
2011	1335	3.230
2009	1207	2.920
2010	1108	2.681
2008	1037	2.509
2007	993	2.403
2006	944	2.284
2000	934	2.260
2004	816	1.974
2005	811	1.962
2003	765	1.851
1999	749	1.812
2001	748	1.810
2002	732	1.771
1993	729	1.764
1972	689	1.667
1998	645	1.561
1995	635	1.536
1981	615	1.488
1994	600	1.452
1997	591	1.430
1996	555	1.343
1973	551	1.333
1980	549	1.328
1971	527	1.275
1992	526	1.273
1982	499	1.207
1979	492	1.190
1990	465	1.125
1983	412	0.997
1984	393	0.951
1991	393	0.951
1989	388	0.939
1986	385	0.932
1988	372	0.900
1970	343	0.830
1974	343	0.830
1975	333	0.806
1985	329	0.796
1977	316	0.765
1987	309	0.748
1976	280	0.677
1978	272	0.658
2018	254	0.615
1969	223	0.540
1968	189	0.457
1964	182	0.440
1967	158	0.382
1966	131	0.317
1965	112	0.271
1963	77	0.186
1961	46	0.111
1962	29	0.070
1960	25	0.060
1959	15	0.036
1952	9	0.022
1953	6	0.015
1957	6	0.015
1949	5	0.012
1951	5	0.012
1954	5	0.012
1000	4	0.010
1955	4	0.010
1956	4	0.010
1958	4	0.010
1947	2	0.005
1948	2	0.005
1950	2	0.005
1800	1	0.002
