Publication Years	records	% of 5493
2017	684	12.452
2014	608	11.069
2015	585	10.650
2016	581	10.577
2013	492	8.957
2011	440	8.010
2012	391	7.118
2010	291	5.298
2009	282	5.134
2008	199	3.623
2007	190	3.459
2006	118	2.148
2018	105	1.912
2004	91	1.657
2005	80	1.456
2003	75	1.365
2001	63	1.147
2000	43	0.783
2002	41	0.746
1997	29	0.528
1999	28	0.510
1998	24	0.437
1996	17	0.309
1990	14	0.255
1993	14	0.255
1995	13	0.237
1991	11	0.200
1994	9	0.164
1992	6	0.109
1980	5	0.091
1989	3	0.055
1988	2	0.036
1800	1	0.018
1966	1	0.018
1976	1	0.018
1979	1	0.018
1983	1	0.018
1984	1	0.018
1987	1	0.018
