Publication Years	records	% of 3927
2017	565	14.388
2015	492	12.529
2014	477	12.147
2016	466	11.867
2013	286	7.283
2011	202	5.144
2012	201	5.118
2009	135	3.438
2010	122	3.107
2018	121	3.081
2008	88	2.241
2007	78	1.986
2006	57	1.451
2001	55	1.401
2004	48	1.222
2005	47	1.197
1998	43	1.095
2000	41	1.044
2003	41	1.044
2002	39	0.993
1994	36	0.917
1999	34	0.866
1996	32	0.815
1997	32	0.815
1992	30	0.764
1995	27	0.688
1990	24	0.611
1993	20	0.509
1988	18	0.458
1989	17	0.433
1991	14	0.357
1984	13	0.331
1987	13	0.331
1981	8	0.204
1985	8	0.204
1980	7	0.178
1983	6	0.153
1986	6	0.153
1800	5	0.127
1977	5	0.127
1979	4	0.102
1976	3	0.076
1978	3	0.076
1982	3	0.076
1000	1	0.025
1944	1	0.025
1953	1	0.025
1955	1	0.025
1957	1	0.025
1958	1	0.025
1974	1	0.025
