Publication Years	records	% of 289
2009	37	12.803
2015	30	10.381
2016	29	10.035
2014	26	8.997
2017	26	8.997
2007	18	6.228
2013	18	6.228
2011	13	4.498
2010	12	4.152
2008	11	3.806
2012	9	3.114
2006	7	2.422
2005	6	2.076
2004	5	1.730
1999	4	1.384
2003	4	1.384
1998	3	1.038
2000	3	1.038
2002	3	1.038
1965	2	0.692
1975	2	0.692
1993	2	0.692
1995	2	0.692
1997	2	0.692
2018	2	0.692
1927	1	0.346
1957	1	0.346
1962	1	0.346
1967	1	0.346
1968	1	0.346
1971	1	0.346
1973	1	0.346
1977	1	0.346
1981	1	0.346
1982	1	0.346
1984	1	0.346
1986	1	0.346
1987	1	0.346
1991	1	0.346
1992	1	0.346
1994	1	0.346
