Publication Years	records	% of 513
2016	79	15.400
2017	71	13.840
2015	59	11.501
2014	50	9.747
2011	29	5.653
2012	28	5.458
2013	26	5.068
2009	22	4.288
2018	22	4.288
2010	20	3.899
2006	17	3.314
2005	12	2.339
2008	12	2.339
2007	10	1.949
2004	8	1.559
2000	6	1.170
2002	6	1.170
2003	6	1.170
1991	5	0.975
1993	5	0.975
1995	5	0.975
2001	4	0.780
1987	3	0.585
1996	3	0.585
1997	3	0.585
1999	3	0.585
1979	2	0.390
1989	2	0.390
1990	2	0.390
1976	1	0.195
1982	1	0.195
1983	1	0.195
1985	1	0.195
1992	1	0.195
1994	1	0.195
1998	1	0.195
