Publication Years	records	% of 737
2015	104	14.111
2016	76	10.312
2017	76	10.312
2014	65	8.820
2010	50	6.784
2011	45	6.106
2013	45	6.106
2012	44	5.970
2009	40	5.427
2007	31	4.206
2006	25	3.392
2008	25	3.392
2005	21	2.849
2004	19	2.578
2018	10	1.357
2003	9	1.221
1997	8	1.085
2002	8	1.085
2001	7	0.950
1996	5	0.678
1999	4	0.543
2000	4	0.543
1990	3	0.407
1994	3	0.407
1998	3	0.407
1985	2	0.271
1991	2	0.271
1995	2	0.271
1975	1	0.136
1977	1	0.136
1981	1	0.136
1986	1	0.136
1987	1	0.136
1989	1	0.136
1992	1	0.136
