Publication Years	records	% of 1052
2014	83	7.890
2016	83	7.890
2017	82	7.795
2015	77	7.319
2010	75	7.129
2012	70	6.654
2013	68	6.464
2011	60	5.703
2009	51	4.848
2007	40	3.802
2006	31	2.947
2008	31	2.947
2003	29	2.757
2005	28	2.662
2001	23	2.186
2004	23	2.186
2002	21	1.996
1998	20	1.901
1999	19	1.806
1995	17	1.616
1997	16	1.521
2000	15	1.426
1996	13	1.236
2018	13	1.236
1991	12	1.141
1992	10	0.951
1990	8	0.760
1988	6	0.570
1994	6	0.570
1993	5	0.475
1981	4	0.380
1986	4	0.380
1985	3	0.285
1987	3	0.285
1989	3	0.285
1968	2	0.190
1979	2	0.190
1969	1	0.095
1973	1	0.095
1977	1	0.095
1983	1	0.095
1984	1	0.095
