Publication Years	records	% of 736
2013	40	5.435
2009	33	4.484
2012	32	4.348
2016	32	4.348
1992	31	4.212
2011	31	4.212
2006	30	4.076
2014	29	3.940
2017	29	3.940
2015	28	3.804
2003	27	3.668
2008	27	3.668
2004	26	3.533
2010	24	3.261
1991	21	2.853
2007	18	2.446
2002	17	2.310
1978	16	2.174
2005	16	2.174
1994	15	2.038
1999	15	2.038
2001	14	1.902
1988	13	1.766
1997	13	1.766
2000	11	1.495
1979	9	1.223
1984	8	1.087
1993	8	1.087
1995	8	1.087
1989	7	0.951
1982	6	0.815
1983	6	0.815
1996	6	0.815
1976	5	0.679
1981	5	0.679
1987	5	0.679
2018	5	0.679
1975	4	0.543
1980	4	0.543
1986	4	0.543
1990	4	0.543
1948	3	0.408
1952	3	0.408
1954	3	0.408
1958	3	0.408
1959	3	0.408
1960	3	0.408
1973	3	0.408
1985	3	0.408
1947	2	0.272
1949	2	0.272
1951	2	0.272
1961	2	0.272
1964	2	0.272
1967	2	0.272
1969	2	0.272
1971	2	0.272
1972	2	0.272
1977	2	0.272
1998	2	0.272
1940	1	0.136
1941	1	0.136
1953	1	0.136
1956	1	0.136
1963	1	0.136
1965	1	0.136
1966	1	0.136
1968	1	0.136
1970	1	0.136
